,Model,Price,Description
0,Player Stratocaster®,629.0,"Le son inspirant d'une Stratocaster, voilà l'un des piliers de Fender. La Player Stratocaster délivre ce son classique — des aigus cristallins, des médiums dynamiques et des graves puissants, sans oublier sa précision parfaite — le tout avec le style et l'esprit authentiques de Fender. Cette guitare est assez polyvalente pour s'intégrer à n'importe quel style. Elle incarnera parfaitement votre vision musicale et vous aidera à créer votre signature sonore.. Corps en aulne avec finition brillante. Trois micros Player Series Stratocaster à simples bobinages. Profil de manche en ""C moderne"". Radius de touche de 9.5"" (241 mm). Chevalet avec vibrato à deux points et pontets en acier embouti."
1,Standard Stratocaster®,315.0,
2,Stratocaster® Jack Ferrules,14.5,
3,Player Stratocaster® HSS,679.0,"Le son inspirant d'une Stratocaster, voilà l'un des piliers de Fender. La Player Stratocaster HSS est une guitare polyvalente qui délivre ce son classique — des aigus cristallins, des médiums dynamiques et des graves puissants, sans oublier sa précision parfaite — le tout avec le style et l'esprit authentiques de Fender. Cette guitare est assez polyvalente pour s'intégrer à n'importe quel style. Elle incarnera parfaitement votre vision musicale et vous aidera à créer votre signature sonore.. Corps en aulne avec finition brillante. Un micro humbucker Player Series en position chevalet ; deux micros à simples bobinages . Player Series Stratocaster en positions manche et centrale. Profil de manche en ""C moderne"". Radius de touche de 9.5"" (241 mm). Chevalet avec vibrato à deux points et pontets en acier embouti."
4,Player Stratocaster® HSH,679.0,"Le son inspirant d'une Stratocaster, voilà l'un des piliers de Fender. La Player Stratocaster HSS est une guitare polyvalente qui délivre ce son classique — des aigus cristallins, des médiums dynamiques et des graves puissants, sans oublier sa précision parfaite — le tout avec le style et l'esprit authentiques de Fender. Cette guitare est assez polyvalente pour s'intégrer à n'importe quel style. Elle incarnera parfaitement votre vision musicale et vous aidera à créer votre signature sonore.."
5,American Professional Stratocaster®,1699.0,
6,Player Stratocaster® pour Gauchers,639.0,"Le son inspirant d'une Stratocaster, voilà l'un des piliers de Fender. La Player Stratocaster LH délivre ce son classique — des aigus cristallins, des médiums dynamiques et des graves puissants, sans oublier sa précision parfaite — le tout avec le style et l'esprit authentiques de Fender. Cette guitare est assez polyvalente pour s'intégrer à n'importe quel style. Elle incarnera parfaitement votre vision musicale et vous aidera à créer votre signature sonore.. Corps en aulne avec finition brillante. Trois micros Player Series Stratocaster à simples bobinages. Profil de manche en ""C moderne"". Radius de touche de 9.5"" (241 mm). Chevalet avec vibrato à deux points et pontets en acier embouti."
7,Contemporary Stratocaster® HSS,400.0,"Micro humbucker Zebra à aimant en céramique en position chevalet : micros à simples bobinages et aimants en céramique en positions manche et centrale. Manche en érable au profil fin en ""C"" et tête de manche peinte coordonnée. r. adius de touche de 12"" (305 mm) ; frettes jumbo. Chevalet à six pontets moulés avec vibrato synchronisé."
8,Contemporary Stratocaster® HSS,400.0,"Micro humbucker Zebra à aimant en céramique en position chevalet : micros à simples bobinages et aimants en céramique en positions manche et centrale. Manche en érable au profil fin en ""C"" et tête de manche peinte coordonnée. r. adius de touche de 12"" (305 mm) ; frettes jumbo. Chevalet à six pontets moulés avec vibrato synchronisé."
9,Contemporary Stratocaster® HSS,400.0,"Micro humbucker Zebra à aimant en céramique en position chevalet : micros à simples bobinages et aimants en céramique en positions manche et centrale. Manche en érable au profil fin en ""C"" et tête de manche peinte coordonnée. r. adius de touche de 12"" (305 mm) ; frettes jumbo. Chevalet à six pontets moulés avec vibrato synchronisé."
10,American Vintage Stratocaster® Tremolo Arms,27.5,
11,Standard Series Stratocaster® Tremolo Arms,13.5,
